"Story","Title","Result","Date","Stability","Duration (s)"
"Search for the product","Verify search product request (positive flow)","SUCCESS","2022-01-27T21:55:25.486Z[Etc/UTC]","0.0","7.09"
"Search for the product","Verify search product request (negative flow - unavailable item)","SUCCESS","2022-01-27T21:55:32.582Z[Etc/UTC]","0.0","0.85"
"Search for the product","Verify search product request (negative flow - wrong search param)","SUCCESS","2022-01-27T21:55:33.446Z[Etc/UTC]","0.0","0.5"
